l,TT
1.690000000000000000e+02,4.504053466262476832e+03
1.700000000000000000e+02,4.528495525883075970e+03
1.710000000000000000e+02,4.552578198492978117e+03
1.720000000000000000e+02,4.576309179618655435e+03
1.730000000000000000e+02,4.599666454009947302e+03
1.740000000000000000e+02,4.622642865644072117e+03
1.750000000000000000e+02,4.645238689267209338e+03
1.760000000000000000e+02,4.667439486776919694e+03
1.770000000000000000e+02,4.689238816799445885e+03
1.780000000000000000e+02,4.710622953200703705e+03
1.790000000000000000e+02,4.731593028443921867e+03
1.800000000000000000e+02,4.752142748391063833e+03
1.810000000000000000e+02,4.772258392150261898e+03
1.820000000000000000e+02,4.791941096970419494e+03
1.830000000000000000e+02,4.811184573031924629e+03
1.840000000000000000e+02,4.829975103286938065e+03
1.850000000000000000e+02,4.848313828350478616e+03
1.860000000000000000e+02,4.866187032940992140e+03
1.870000000000000000e+02,4.883595859125373863e+03
1.880000000000000000e+02,4.900534021115842734e+03
1.890000000000000000e+02,4.916987805122289501e+03
1.900000000000000000e+02,4.932958354261210843e+03
1.910000000000000000e+02,4.948439383369955067e+03
1.920000000000000000e+02,4.963417178879535641e+03
1.930000000000000000e+02,4.977885455396610269e+03
1.940000000000000000e+02,4.991852783944691510e+03
1.950000000000000000e+02,5.005305450114049563e+03
1.960000000000000000e+02,5.018244595724915598e+03
1.970000000000000000e+02,5.030671362050264179e+03
1.980000000000000000e+02,5.042586889750797127e+03
1.990000000000000000e+02,5.053970033771232011e+03
2.000000000000000000e+02,5.064836790101518091e+03
2.010000000000000000e+02,5.075173308820976672e+03
2.020000000000000000e+02,5.084972640507920914e+03
2.030000000000000000e+02,5.094212846510092277e+03
2.040000000000000000e+02,5.102901700828891990e+03
2.050000000000000000e+02,5.111009834986176429e+03
2.060000000000000000e+02,5.118545021556707979e+03
2.070000000000000000e+02,5.125492747406457056e+03
2.080000000000000000e+02,5.131845927143534936e+03
2.090000000000000000e+02,5.137634616577984161e+03
2.100000000000000000e+02,5.142844300935801584e+03
2.110000000000000000e+02,5.147482750085009684e+03
2.120000000000000000e+02,5.151565161914990313e+03
2.130000000000000000e+02,5.155091877370517977e+03
2.140000000000000000e+02,5.158070665591115358e+03
2.150000000000000000e+02,5.160501867301813945e+03
2.160000000000000000e+02,5.162370966555621635e+03
2.170000000000000000e+02,5.163678304227472836e+03
2.180000000000000000e+02,5.164424221405713979e+03
2.190000000000000000e+02,5.164601631131621616e+03
2.200000000000000000e+02,5.164203446836020703e+03
2.210000000000000000e+02,5.163237439121548960e+03
2.220000000000000000e+02,5.161689094087442754e+03
2.230000000000000000e+02,5.159566183500228362e+03
2.240000000000000000e+02,5.156876479804273004e+03
2.250000000000000000e+02,5.153620327823973639e+03
2.260000000000000000e+02,5.149790644806425007e+03
2.270000000000000000e+02,5.145395205504234582e+03
2.280000000000000000e+02,5.140434357145519243e+03
2.290000000000000000e+02,5.134915876143187234e+03
2.300000000000000000e+02,5.128832683040469419e+03
2.310000000000000000e+02,5.122192555895294390e+03
2.320000000000000000e+02,5.115003273549922596e+03
2.330000000000000000e+02,5.107257758887166347e+03
2.340000000000000000e+02,5.098956363824357140e+03
2.350000000000000000e+02,5.090114297593354422e+03
2.360000000000000000e+02,5.080717056555511590e+03
2.370000000000000000e+02,5.070787279257377122e+03
2.380000000000000000e+02,5.060317891169270297e+03
2.390000000000000000e+02,5.049316674665508799e+03
2.400000000000000000e+02,5.037783983840898145e+03
2.410000000000000000e+02,5.025720172717444257e+03
2.420000000000000000e+02,5.013140451791388841e+03
2.430000000000000000e+02,5.000045174469718404e+03
2.440000000000000000e+02,4.986434693600137507e+03
2.450000000000000000e+02,4.972324217994096216e+03
2.460000000000000000e+02,4.957721527192761641e+03
2.470000000000000000e+02,4.942619542928876399e+03
2.480000000000000000e+02,4.927040899037005147e+03
2.490000000000000000e+02,4.910978514458211066e+03
2.500000000000000000e+02,4.894447591497696521e+03
2.510000000000000000e+02,4.877440929264243096e+03
2.520000000000000000e+02,4.859965716433213856e+03
2.530000000000000000e+02,4.842021594803938569e+03
2.540000000000000000e+02,4.823623060432058082e+03
2.550000000000000000e+02,4.804754893349851955e+03
2.560000000000000000e+02,4.785431584197090160e+03
