l,Nl
1.370000000000000000e+02,3.358827453313150767e-08
1.380000000000000000e+02,3.359086667872170686e-08
1.390000000000000000e+02,3.359346348940400392e-08
1.400000000000000000e+02,3.359606645589997892e-08
1.410000000000000000e+02,3.359867714878503790e-08
1.420000000000000000e+02,3.360129721528584081e-08
1.430000000000000000e+02,3.360392838065309054e-08
1.440000000000000000e+02,3.360657244619730312e-08
1.450000000000000000e+02,3.360923128738642475e-08
1.460000000000000000e+02,3.361190685416935862e-08
1.470000000000000000e+02,3.361460116810990983e-08
1.480000000000000000e+02,3.361731632067485905e-08
1.490000000000000000e+02,3.362005447260277735e-08
1.500000000000000000e+02,3.362281785229566283e-08
1.510000000000000000e+02,3.362560875425396125e-08
1.520000000000000000e+02,3.362842953760451542e-08
1.530000000000000000e+02,3.363128262475967230e-08
1.540000000000000000e+02,3.363417049919528399e-08
1.550000000000000000e+02,3.363709570329052227e-08
1.560000000000000000e+02,3.364006083813426535e-08
1.570000000000000000e+02,3.364306856054655289e-08
1.580000000000000000e+02,3.364612158295877049e-08
1.590000000000000000e+02,3.364922266967311254e-08
1.600000000000000000e+02,3.365237463682586198e-08
1.610000000000000000e+02,3.365558034970061503e-08
1.620000000000000000e+02,3.365884272101095500e-08
1.630000000000000000e+02,3.366216470922889892e-08
1.640000000000000000e+02,3.366554931527708832e-08
1.650000000000000000e+02,3.366899958268017649e-08
1.660000000000000000e+02,3.367251859523133213e-08
1.670000000000000000e+02,3.367610947472869601e-08
1.680000000000000000e+02,3.367977537878840145e-08
1.690000000000000000e+02,3.368351949872043407e-08
1.700000000000000000e+02,3.368734505747832896e-08
1.710000000000000000e+02,3.369125530844881356e-08
1.720000000000000000e+02,3.369525353274142136e-08
1.730000000000000000e+02,3.369934303731740930e-08
1.740000000000000000e+02,3.370352715318545192e-08
1.750000000000000000e+02,3.370780923364275094e-08
1.760000000000000000e+02,3.371219265110320127e-08
1.770000000000000000e+02,3.371668079621355188e-08
1.780000000000000000e+02,3.372127707489264178e-08
1.790000000000000000e+02,3.372598490689216534e-08
1.800000000000000000e+02,3.373080772440876911e-08
1.810000000000000000e+02,3.373574896932981167e-08
1.820000000000000000e+02,3.374081209126000188e-08
1.830000000000000000e+02,3.374600054559184457e-08
1.840000000000000000e+02,3.375131779232353991e-08
1.850000000000000000e+02,3.375676729355566355e-08
1.860000000000000000e+02,3.376235251107024718e-08
1.870000000000000000e+02,3.376807690527726810e-08
1.880000000000000000e+02,3.377394393348672183e-08
1.890000000000000000e+02,3.377995704738205519e-08
1.900000000000000000e+02,3.378611969133388915e-08
1.910000000000000000e+02,3.379243530049516080e-08
1.920000000000000000e+02,3.379890729914357921e-08
1.930000000000000000e+02,3.380553909880930536e-08
1.940000000000000000e+02,3.381233409658148181e-08
1.950000000000000000e+02,3.381929567326525451e-08
1.960000000000000000e+02,3.382642719159420895e-08
1.970000000000000000e+02,3.383373199447344521e-08
1.980000000000000000e+02,3.384121340315737846e-08
1.990000000000000000e+02,3.384887471557442026e-08
2.000000000000000000e+02,3.385671920469908056e-08
2.010000000000000000e+02,3.386475011694929529e-08
2.020000000000000000e+02,3.387297067046527525e-08
2.030000000000000000e+02,3.388138405361475110e-08
2.040000000000000000e+02,3.388999342343560396e-08
2.050000000000000000e+02,3.389880190415128801e-08
2.060000000000000000e+02,3.390781258567040426e-08
2.070000000000000000e+02,3.391702852220876321e-08
2.080000000000000000e+02,3.392645273078602713e-08
2.090000000000000000e+02,3.393608818984010310e-08
2.100000000000000000e+02,3.394593783792801950e-08
2.110000000000000000e+02,3.395600457227520337e-08
2.120000000000000000e+02,3.396629124740925600e-08
2.130000000000000000e+02,3.397680067395435372e-08
2.140000000000000000e+02,3.398753561724554833e-08
2.150000000000000000e+02,3.399849879599899814e-08
2.160000000000000000e+02,3.400969288150652570e-08
2.170000000000000000e+02,3.402112049578251483e-08
2.180000000000000000e+02,3.403278421077530310e-08
2.190000000000000000e+02,3.404468654756490928e-08
2.200000000000000000e+02,3.405682997461327501e-08
2.210000000000000000e+02,3.406921690697167361e-08
2.220000000000000000e+02,3.408184970550112210e-08
2.230000000000000000e+02,3.409473067513702247e-08
2.240000000000000000e+02,3.410786206457886304e-08
2.250000000000000000e+02,3.412124606502967465e-08
2.260000000000000000e+02,3.413488480987008841e-08
2.270000000000000000e+02,3.414878037293942789e-08
2.280000000000000000e+02,3.416293476774467301e-08
2.290000000000000000e+02,3.417734994709430357e-08
2.300000000000000000e+02,3.419202780184314863e-08
2.310000000000000000e+02,3.420697016006333318e-08
2.320000000000000000e+02,3.422217878709476921e-08
2.330000000000000000e+02,3.423765538425560760e-08
2.340000000000000000e+02,3.425340158799528464e-08
2.350000000000000000e+02,3.426941896944942600e-08
2.360000000000000000e+02,3.428570903356616536e-08
2.370000000000000000e+02,3.430227321820788586e-08
2.380000000000000000e+02,3.431911289450672901e-08
2.390000000000000000e+02,3.433622936593099240e-08
2.400000000000000000e+02,3.435362386817568375e-08
2.410000000000000000e+02,3.437129756778689970e-08
2.420000000000000000e+02,3.438925156201088190e-08
2.430000000000000000e+02,3.440748687860055600e-08
2.440000000000000000e+02,3.442600447521264270e-08
2.450000000000000000e+02,3.444480523916520124e-08
2.460000000000000000e+02,3.446388998679042336e-08
2.470000000000000000e+02,3.448325946392544264e-08
2.480000000000000000e+02,3.450291434482694776e-08
2.490000000000000000e+02,3.452285523182686363e-08
2.500000000000000000e+02,3.454308265574420130e-08
2.510000000000000000e+02,3.456359707472191630e-08
2.520000000000000000e+02,3.458439887531565033e-08
2.530000000000000000e+02,3.460548837157717552e-08
2.540000000000000000e+02,3.462686580523646013e-08
2.550000000000000000e+02,3.464853134509274450e-08
2.560000000000000000e+02,3.467048508750300118e-08
2.570000000000000000e+02,3.469272705571952864e-08
2.580000000000000000e+02,3.471525719994627902e-08
2.590000000000000000e+02,3.473807539770949452e-08
2.600000000000000000e+02,3.476118145313102601e-08
2.610000000000000000e+02,3.478457509723364864e-08
2.620000000000000000e+02,3.480825598787182355e-08
2.630000000000000000e+02,3.483222370961809617e-08
2.640000000000000000e+02,3.485647777363349358e-08
2.650000000000000000e+02,3.488101761784243681e-08
2.660000000000000000e+02,3.490584260743521002e-08
2.670000000000000000e+02,3.493095203497655945e-08
2.680000000000000000e+02,3.495634512084030728e-08
2.690000000000000000e+02,3.498202101325386723e-08
2.700000000000000000e+02,3.500797878833100750e-08
2.710000000000000000e+02,3.503421745072842045e-08
2.720000000000000000e+02,3.506073593361781680e-08
2.730000000000000000e+02,3.508753309894482656e-08
2.740000000000000000e+02,3.511460773866415837e-08
2.750000000000000000e+02,3.514195857428032894e-08
2.760000000000000000e+02,3.516958425768677495e-08
2.770000000000000000e+02,3.519748337130668548e-08
2.780000000000000000e+02,3.522565442854660803e-08
2.790000000000000000e+02,3.525409587420324931e-08
2.800000000000000000e+02,3.528280608549819881e-08
